StudyNo.,SRA,Study,Species,Amplicon,Layout,Approximated Avg Spot Length,Region,Country,Substrate,SAMN,Latitude,Longitude,Packaging,Raw/RTE/Environment,Time,Lactate Dose,PAA,Study Code,Storage Days,Storage Temperature,Season
BZ1,ERR4144854,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829092,48.2542856,16.4269224,Facility,Environment,,,,UG 3a,,,
BZ1,ERR4144855,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829093,48.2542856,16.4269224,Facility,Environment,,,,UG 3c,,,
BZ1,ERR4144856,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829094,48.2542856,16.4269224,Facility,Environment,,,,UG 4a,,,
BZ1,ERR4144857,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829095,48.2542856,16.4269224,Facility,Environment,,,,UG 4c,,,
BZ1,ERR4144858,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829096,48.2542856,16.4269224,Facility,Environment,,,,UG 5a,,,
BZ1,ERR4144859,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829097,48.2542856,16.4269224,Facility,Environment,,,,UG 5c,,,
BZ1,ERR4144860,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829098,48.2542856,16.4269224,Facility,Environment,,,,UG 6a,,,
BZ1,ERR4144861,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829099,48.2542856,16.4269224,Facility,Environment,,,,UG 6d,,,
BZ1,ERR4144862,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829100,48.2542856,16.4269224,Facility,Environment,,,,UG 7a,,,
BZ1,ERR4144863,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829101,48.2542856,16.4269224,Facility,Environment,,,,UG 7c,,,
BZ1,ERR4144864,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829102,48.2542856,16.4269224,Facility,Environment,,,,UG 8a,,,
BZ1,ERR4144865,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829103,48.2542856,16.4269224,Facility,Environment,,,,UG 8c,,,
BZ1,ERR4144866,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829104,48.2542856,16.4269224,Facility,Environment,,,,UG 9a,,,
BZ1,ERR4144867,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829105,48.2542856,16.4269224,Facility,Environment,,,,UG 9c,,,
BZ1,ERR4144868,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829106,48.2542856,16.4269224,Facility,Environment,,,,UG 11b,,,
BZ1,ERR4144869,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829107,48.2542856,16.4269224,Facility,Environment,,,,UG 12a,,,
BZ1,ERR4144870,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829108,48.2542856,16.4269224,Facility,Environment,,,,UG 14a,,,
BZ1,ERR4144871,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829109,48.2542856,16.4269224,Facility,Environment,,,,UG 15a,,,
BZ1,ERR4144872,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829110,48.2542856,16.4269224,Facility,Environment,,,,UG 16a,,,
EC2,SRR10584127,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13477094,50.38 N ,5.34 E,.,Raw,,,,Food companie 4 batch 1,,,
EC2,SRR10584128,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13477095,50.38 N ,5.34 E,.,Raw,,,,Food companie 3 batch 3,,,
EC2,SRR10584129,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13476907,50.38 N ,5.34 E,.,Raw,,,,Food companie 3 batch 2,,,
EC2,SRR10584130,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13476902,50.38 N ,5.34 E,.,Raw,,,,Food companie 3 batch 1,,,
EC2,SRR10584131,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13476537,50.38 N ,5.34 E,.,Raw,,,,Food companie 2 batch 3,,,
EC2,SRR10584132,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13476534,50.38 N ,5.34 E,.,Raw,,,,Food companie 2 batch 2,,,
EC2,SRR10584133,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13476536,50.38 N ,5.34 E,.,Raw,,,,Food companie 2 batch 1,,,
EC2,SRR10584134,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13476535,50.38 N ,5.34 E,.,Raw,,,,Food companie 1 batch 3,,,
EC2,SRR10584135,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13477096,50.38 N ,5.34 E,.,Raw,,,,Food companie 4 batch 3,,,
EC2,SRR10584136,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13477097,50.38 N ,5.34 E,.,Raw,,,,Food companie 4 batch 2,,,
EC2,SRR10584137,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13476533,50.38 N ,5.34 E,.,Raw,,,,Food companie 1 batch 2,,,
EC2,SRR10584138,2,Pork,V1-V3,Single,844,Europe,Belgium,Ground pork,SAMN13476256,50.38 N ,5.34 E,.,Raw,,,,Food companie 1 batch 1,,,
SK3,ERR3602908,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920115,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603269,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920114,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603270,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920116,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603271,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920117,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603272,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920118,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603273,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920119,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603274,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920120,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603275,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920121,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603276,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920122,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603277,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920123,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603278,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920124,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603279,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920125,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603280,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920126,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603281,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920127,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603282,3,Beef,V4,Paired,501,Oceania,Austrailia,hide,SAMEA5920128,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603283,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920129,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603284,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920130,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603285,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920131,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603286,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920132,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603287,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920133,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603288,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920134,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603289,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920135,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603290,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920136,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603291,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920137,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603292,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920138,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603293,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920139,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603294,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920140,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603295,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920141,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603296,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920142,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603297,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920143,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603298,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920144,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603299,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920145,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603300,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920146,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603301,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920147,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603302,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920148,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603303,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920149,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603304,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920150,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603305,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920151,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603306,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920152,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603307,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920153,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603308,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920154,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603309,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920155,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603310,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920156,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603311,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920157,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603312,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920158,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603313,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920159,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603314,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920160,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603315,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920161,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603316,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920162,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603317,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920163,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603318,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920164,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603319,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920165,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603320,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920166,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603321,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920167,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603322,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920169,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603323,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920170,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603324,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920171,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603325,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920172,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603326,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920173,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603327,3,Beef,V4,Paired,501,Oceania,Austrailia,carcase,SAMEA5920174,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603328,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920175,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603329,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920176,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603330,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920177,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603331,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920178,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603332,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920179,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603333,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920180,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603334,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920181,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603335,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920182,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603336,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920183,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603337,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920184,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603338,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920185,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603339,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920186,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603340,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920187,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603341,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920188,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603342,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920189,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603343,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920190,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603344,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920191,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603345,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920192,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603346,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920193,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603347,3,Beef,V4,Paired,501,Oceania,Austrailia,Environmental slaughter floor,SAMEA5920194,25.2744,133.7751,Facility,Environment,,,,,,,
SK3,ERR3603348,3,Beef,V4,Paired,501,Oceania,Austrailia,Faeces,SAMEA5920195,25.2744,133.7751,Facility,Fecal,,,,,,,
SK3,ERR3603349,3,Beef,V4,Paired,501,Oceania,Austrailia,Faeces,SAMEA5920196,25.2744,133.7751,Facility,Fecal,,,,,,,
SK3,ERR3603350,3,Beef,V4,Paired,501,Oceania,Austrailia,Faeces,SAMEA5920197,25.2744,133.7751,Facility,Fecal,,,,,,,
SK3,ERR3603351,3,Beef,V4,Paired,501,Oceania,Austrailia,Faeces,SAMEA5920198,25.2744,133.7751,Facility,Fecal,,,,,,,
SK3,ERR3603352,3,Beef,V4,Paired,501,Oceania,Austrailia,Faeces,SAMEA5920199,25.2744,133.7751,Facility,Fecal,,,,,,,
SK3,ERR3603353,3,Beef,V4,Paired,501,Oceania,Austrailia,Faeces,SAMEA5920200,25.2744,133.7751,Facility,Fecal,,,,,,,
SK3,ERR3603354,3,Beef,V4,Paired,501,Oceania,Austrailia,Faeces,SAMEA5920201,25.2744,133.7751,Facility,Fecal,,,,,,,
SK3,ERR3603355,3,Beef,V4,Paired,501,Oceania,Austrailia,Faeces,SAMEA5920202,25.2744,133.7751,Facility,Fecal,,,,,,,
SK3,ERR3603356,3,Beef,V4,Paired,501,Oceania,Austrailia,Faeces,SAMEA5920203,25.2744,133.7751,Facility,Fecal,,,,,,,
SK3,ERR3603357,3,Beef,V4,Paired,501,Oceania,Austrailia,Faeces,SAMEA5920204,25.2744,133.7751,Facility,Fecal,,,,,,,
SK3,ERR3603358,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925213,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603359,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925214,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603360,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925215,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603361,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925216,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603362,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925217,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603363,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925218,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603364,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925219,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603365,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925220,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603366,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925221,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603367,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925222,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603368,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925223,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603369,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925224,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603370,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925225,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603371,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925226,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603372,3,Beef,V4,Paired,501,Oceania,Austrailia,Hides,SAMEA5925227,25.2744,133.7751,Facility,Hide,,,,,,,
SK3,ERR3603373,3,Beef,V4,Paired,501,Oceania,Austrailia,Carcase,SAMEA5925228,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603374,3,Beef,V4,Paired,501,Oceania,Austrailia,Carcase,SAMEA5925229,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603375,3,Beef,V4,Paired,501,Oceania,Austrailia,Carcase,SAMEA5925230,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603376,3,Beef,V4,Paired,501,Oceania,Austrailia,Carcase,SAMEA5925231,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603377,3,Beef,V4,Paired,501,Oceania,Austrailia,Carcase,SAMEA5925232,25.2744,133.7751,Facility,Raw,,,,,,,
SK3,ERR3603378,3,Beef,V4,Paired,501,Oceania,Austrailia,Carcase,SAMEA5925233,25.2744,133.7751,Facility,Raw,,,,,,,
